id,route_stage,title,place,type,topic,summary,question,answer,score
ruijin_departure,瑞金出发,瑞金出发,江西瑞金,route,长征史,中央红军从瑞金出发，长征由此拉开序幕。,长征最初从哪座中央苏区城市启程？,江西瑞金,10
yudu_crossing,于都河出发,于都河出发,江西于都,route,长征史,中央红军渡过于都河，正式踏上长征征程。,于都河出发最能体现长征初期哪一特点？,军民同心支前,10
break_blockade,突破封锁线,突破封锁线,赣南湘南一线,event,长征史,红军连续突破敌军封锁线，艰难向西推进。,突破封锁线的主要目的是什么？,摆脱敌军合围,12
xiangjiang_battle,湘江战役,湘江战役,广西全州灌阳兴安一带,event,长征史,湘江战役是长征初期最惨烈的战役之一。,湘江战役最突出的特点是什么？,牺牲巨大,15
tongdao_turn,通道转兵,通道转兵,湖南通道,route,长征史,红军在通道改变方向，避免再次陷入重围。,通道转兵的核心作用是什么？,调整方向,12
liping_meeting,黎平会议,黎平会议,贵州黎平,event,长征史,黎平会议进一步明确新的进军方向。,黎平会议主要解决什么问题？,明确新的行军方向,12
houchang_meeting,猴场会议,猴场会议,贵州瓮安猴场,event,长征史,猴场会议继续推进战略调整。,猴场会议在长征史上的主要作用是什么？,推进战略调整,12
zunyi_meeting,遵义会议,遵义会议,贵州遵义,event,长征史,遵义会议确立正确领导方向，成为历史转折点。,遵义会议通常被概括为党史上的什么转折点？,生死攸关的转折点,20
four_crossings_chishui,四渡赤水,四渡赤水,贵州四川云南交界地区,route,长征史,红军机动穿插，摆脱敌军围堵。,四渡赤水最能体现什么作战特点？,机动作战,18
jinsha_crossing,巧渡金沙江,巧渡金沙江,云南禄劝四川会理一带,route,长征史,红军成功渡过金沙江，摆脱敌军重兵围堵。,巧渡金沙江的最大战略意义是什么？,摆脱围堵,15
dadu_force_crossing,强渡大渡河,强渡大渡河,四川石棉安顺场一带,event,长征史,红军强渡大渡河，打开北进通道。,强渡大渡河要解决的最紧迫问题是什么？,打开北进通道,15
luding_bridge,飞夺泸定桥,飞夺泸定桥,四川泸定,event,长征史,红军突击队在极端危险条件下夺取泸定桥。,飞夺泸定桥最鲜明体现了什么精神？,英勇顽强,20
maogong_join,懋功会师,懋功会师,四川懋功,event,长征史,中央红军与红四方面军在懋功地区会师。,懋功会师的重要意义主要体现在哪方面？,力量汇合壮大,12
cross_snow_mountain,翻雪山,翻雪山,川西高原雪山地区,route,长征史,红军翻越雪山，克服高寒缺氧等极端环境考验。,翻雪山主要体现长征哪方面的艰难？,自然环境考验,15
cross_grassland,过草地,过草地,川西北草地,route,长征史,红军穿越草地，在缺粮缺药中顽强前进。,过草地的主要困难不包括哪一项？,海战,15
wuqi_join,吴起镇会师,吴起镇会师,陕西吴起镇,event,长征史,中央红军到达陕北吴起镇并与陕北红军会合。,吴起镇会师最重要的历史意义是什么？,在陕北落脚,16
huining_join,会宁会师,会宁会师,甘肃会宁,event,长征史,红军三大主力在会宁会师，长征胜利结束。,会宁会师通常概括长征取得了什么结果？,长征胜利结束,20
